,id,Publication Title,Title,Abbreviation,Publication Type,"Subject Area, Categories, Scope",h-index,Overall Rank/Ranking,SCImago Journal Rank (SJR),Impact Score,Publisher,Country,ISSN
0,50,RELIABILITY ENGINEERING & SYSTEM SAFETY,Reliability Engineering and System Safety ,Reliab. Eng. Syst. Saf.,Journal,"Applied Mathematics (Q1); Industrial and Manufacturing Engineering (Q1); Safety, Risk, Reliability and Quality (Q1)",157,1462,1.824,7.10,Elsevier Ltd.,United Kingdom,"18790836, 09518320"
1,51,WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,52,ENVIRONMENTAL RESEARCH LETTERS,Environmental Research Letters ,Environ. Res. Lett.,Journal,"Environmental Science (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Renewable Energy, Sustainability and the Environment (Q1)",142,1135,2.111,6.41,IOP Publishing Ltd.,United Kingdom,17489326
3,53,INTERNATIONAL JOURNAL OF HEALTH GEOGRAPHICS,International Journal of Health Geographics ,Int. J. Health Geogr.,Journal,"Business, Management and Accounting (miscellaneous) (Q1); Computer Science (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)",81,3811,1.047,5.22,BioMed Central Ltd.,United Kingdom,1476072X
4,54,GEOSCIENCE FRONTIERS,Geoscience Frontiers ,Geosci. Front.,Journal,Earth and Planetary Sciences (miscellaneous) (Q1),65,1533,1.78,6.75,China University of Geosciences (Beijing) and Peking University,China,16749871
5,55,ENVIRONMENTAL HAZARDS-HUMAN AND POLICY DIMENSIONS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,56,JOURNAL OF APPLIED WATER ENGINEERING AND RESEARCH,Journal of Applied Water Engineering and Research ,J. Appl. Water Eng. Res.,Journal,Water Science and Technology (Q3),10,14815,0.299,1.24,Taylor and Francis Ltd.,United Kingdom,23249676
7,57,HYDROLOGY,Hydrology and Earth System Sciences ,Hydrol. Earth Syst. Sci.,Journal,Earth and Planetary Sciences (miscellaneous) (Q1); Water Science and Technology (Q1),147,1528,1.783,5.77,European Geosciences Union,Germany,"10275606, 16077938"
8,58,ADVANCES IN ENGINEERING SOFTWARE,Advances in Engineering Software ,Adv. Eng. Softw.,Journal,Engineering (miscellaneous) (Q1); Software (Q2),86,4645,0.92,4.54,Elsevier Ltd.,United Kingdom,"18735339, 09659978"
9,59,RISK ANALYSIS,Risk Analysis ,Risk Anal.,Journal,"Safety, Risk, Reliability and Quality (Q1); Physiology (medical) (Q2)",139,4657,0.919,3.86,Wiley-Blackwell Publishing Ltd,United Kingdom,"15396924, 02724332"
10,60,AUTOMATION IN CONSTRUCTION,Automation in Construction ,Autom. Constr.,Journal,Building and Construction (Q1); Civil and Structural Engineering (Q1); Control and Systems Engineering (Q1),138,909,2.401,11.45,Elsevier,Netherlands,9265805
11,61,JOURNAL OF ENVIRONMENTAL MANAGEMENT,Journal of Environmental Management ,J. Environ. Manag.,Journal,"Environmental Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Medicine (miscellaneous) (Q1); Waste Management and Disposal (Q1)",196,2132,1.481,8.63,Academic Press Inc.,United States,"10958630, 03014797"
12,62,INTERNATIONAL JOURNAL OF DISASTER RESILIENCE IN THE BUILT ENVIRONMENT,International Journal of Disaster Resilience in the Built Environment ,Int. J. Disaster Resil. Built Environ.,Journal,"Building and Construction (Q3); Safety, Risk, Reliability and Quality (Q3)",23,13591,0.34,1.32,Emerald Group Publishing Ltd.,United Kingdom,"17595916, 17595908"
13,63,ENVIRONMENTAL MONITORING AND ASSESSMENT,Environmental Monitoring and Assessment ,Environ. Monit. Assess.,Journal,"Environmental Science (miscellaneous) (Q2); Management, Monitoring, Policy and Law (Q2); Medicine (miscellaneous) (Q2); Pollution (Q2)",122,7902,0.623,3.20,Springer Netherlands,Netherlands,"01676369, 15732959"
14,64,EARTH SCIENCE INFORMATICS,Earth Science Informatics ,Earth Sci. Inform.,Journal,Earth and Planetary Sciences (miscellaneous) (Q2),27,9973,0.502,2.98,Springer Verlag,Germany,"18650473, 18650481"
15,65,ENVIRONMENTAL MODELLING & SOFTWARE,Environmental Modelling and Software ,Environ. Model. Softw.,Journal,Ecological Modeling (Q1); Environmental Engineering (Q1); Software (Q1),146,2279,1.426,5.70,Elsevier BV,Netherlands,13648152
