,id,Publication Title,Title,Abbreviation,Publication Type,"Subject Area, Categories, Scope",h-index,Overall Rank/Ranking,SCImago Journal Rank (SJR),Impact Score,Publisher,Country,ISSN
0,17,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,18,ASCE-ASME JOURNAL OF RISK AND UNCERTAINTY IN ENGINEERING SYSTEMS PART A-CIVIL ENGINEERING,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,19,INTERNATIONAL JOURNAL OF BUILDING PATHOLOGY AND ADAPTATION,International Journal of Building Pathology and Adaptation ,Int. J. Build. Pathol. Adapt.,Journal,Building and Construction (Q2); Civil and Structural Engineering (Q2),34,11273,0.436,2.28,Emerald Group Publishing Ltd.,United Kingdom,23984708
3,20,NATURAL HAZARDS,Natural Hazards and Earth System Sciences ,Nat. Hazards Earth Syst. Sci.,Journal,Earth and Planetary Sciences (miscellaneous) (Q1),107,3301,1.142,4.20,European Geosciences Union,Germany,"16849981, 15618633"
4,21,SUSTAINABLE CITIES AND SOCIETY,Sustainable Cities and Society ,Sustain. Cities Soc.,Journal,"Civil and Structural Engineering (Q1); Geography, Planning and Development (Q1); Renewable Energy, Sustainability and the Environment (Q1); Transportation (Q1)",82,1229,2.015,11.03,Elsevier BV,Netherlands,22106707
5,22,ENVIRONMENTAL EARTH SCIENCES,Environmental Earth Sciences ,Environ. Earth Sci.,Journal,Earth-Surface Processes (Q2); Environmental Chemistry (Q2); Geology (Q2); Pollution (Q2); Soil Science (Q2); Water Science and Technology (Q2); Global and Planetary Change (Q3),130,7901,0.623,3.13,Springer Verlag,Germany,"18666299, 18666280"
6,23,JOURNAL OF HYDROLOGY,Journal of Hydrology ,J. Hydrol.,Journal,Water Science and Technology (Q1),241,1858,1.611,6.51,Elsevier,Netherlands,221694
7,24,TRAVEL BEHAVIOUR AND SOCIETY,Travel Behaviour and Society ,Travel Behav. Soc.,Journal,Transportation (Q1),33,1106,2.148,5.91,Elsevier BV,Netherlands,2214367X
8,25,GEOCARTO INTERNATIONAL,Geocarto International ,Geocarto Int.,Journal,"Geography, Planning and Development (Q1); Water Science and Technology (Q2)",47,7595,0.644,3.18,Taylor and Francis Ltd.,United Kingdom,"17520762, 10106049"
9,26,APPLIED SCIENCES-BASEL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,27,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science and Pollution Research ,Environ. Sci. Pollut. Res.,Journal,"Health, Toxicology and Mutagenesis (Q1); Environmental Chemistry (Q2); Medicine (miscellaneous) (Q2); Pollution (Q2)",132,5431,0.831,5.03,Springer Science + Business Media,Germany,"09441344, 16147499"
11,28,JOURNAL OF SPATIAL SCIENCE,Journal of Spatial Science ,J. Spat. Sci.,Journal,"Geography, Planning and Development (Q2); Atmospheric Science (Q3); Energy (miscellaneous) (Q3)",27,12881,0.367,1.68,Taylor and Francis Ltd.,United Kingdom,"14498596, 18365655"
12,29,JOURNAL OF APPLIED REMOTE SENSING,Journal of Applied Remote Sensing ,J. Appl. Remote Sens.,Journal,Earth and Planetary Sciences (miscellaneous) (Q2),50,10941,0.453,1.70,SPIE,United States,19313195
13,30,JOURNAL OF FLOOD RISK MANAGEMENT,Journal of Flood Risk Management ,J. Flood Risk Manag.,Journal,"Environmental Engineering (Q1); Geography, Planning and Development (Q1); Safety, Risk, Reliability and Quality (Q1); Water Science and Technology (Q1)",41,4291,0.97,3.56,Blackwell Publishing,Denmark,1753318X
14,31,NATURAL HAZARDS REVIEW,Natural Hazards Review ,Nat. Hazards Rev.,Journal,Civil and Structural Engineering (Q1); Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1),61,6066,0.77,3.72,American Society of Civil Engineers (ASCE),United States,15276988
15,32,CLIMATE RISK MANAGEMENT,Climate Risk Management ,Clim. Risk Manag.,Journal,"Atmospheric Science (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Global and Planetary Change (Q2)",36,2711,1.294,5.42,Elsevier BV,Netherlands,22120963
