,id,Publication Title,Title,Abbreviation,Publication Type,"Subject Area, Categories, Scope",h-index,Overall Rank/Ranking,SCImago Journal Rank (SJR),Impact Score,Publisher,Country,ISSN
0,132,CITY AND ENVIRONMENT INTERACTIONS,City and Environment Interactions ,-1,Journal,"Urban Studies (Q1); Environmental Science (miscellaneous) (Q2); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2)",6,8619,0.577,3.67,Elsevier BV,Netherlands,25902520
1,133,ENVIRONMENTAL GEOLOGY,Economic and Environmental Geology ,Econ. Environ. Geol.,Journal,Economic Geology (Q4); Environmental Science (miscellaneous) (Q4); Geology (Q4),5,19195,0.187,0.42,The Korean Society of Economic and Environmental Geology,South Korea,"22887962, 12257281"
2,134,JOURNAL OF HYDROMETEOROLOGY,Journal of Hydrometeorology ,J. Hydrometeorol.,Journal,Atmospheric Science (Q1),131,2124,1.485,4.17,American Meteorological Society,United States,"1525755X, 15257541"
3,135,ENGINEERING GEOLOGY,Shiyou Kantan Yu Kaifa/Petroleum Exploration and Development ,Shiyou Kantan Yu Kaifa/Pet. Explor. Dev.,Journal,Energy Engineering and Power Technology (Q1); Geology (Q1); Geotechnical Engineering and Engineering Geology (Q1),57,860,2.465,4.70,Science Press,China,10000747
4,136,WATER RESOURCES RESEARCH,Water Resources Research ,Water Resour. Res.,Journal,Water Science and Technology (Q1),231,1530,1.783,5.71,Wiley-Blackwell,United States,"19447973, 00431397"
5,137,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,138,BULLETIN DE LA SOCIETE GEOLOGIQUE DE FRANCE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,139,WATER RESEARCH,Water Research ,Water Res.,Journal,Civil and Structural Engineering (Q1); Ecological Modeling (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1),327,668,2.806,11.67,Elsevier Ltd.,United Kingdom,"00431354, 18792448"
8,140,INTERNATIONAL JOURNAL OF WILDLAND FIRE,International Journal of Wildland Fire ,Int. J. Wildland Fire,Journal,Ecology (Q1); Forestry (Q1),93,5268,0.847,3.25,CSIRO,Australia,"14485516, 10498001"
9,141,INTERNATIONAL JOURNAL OF MATHEMATICAL ENGINEERING AND MANAGEMENT SCIENCES,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,142,ECONOMIC EVALUATION OF CLIMATE CHANGE IMPACTS: DEVELOPMENT OF A CROSS-SECTORAL FRAMEWORK AND RESULTS FOR AUSTRIA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,143,JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,Journal of the Indian Society of Remote Sensing ,J. Indian Soc. Remote Sens.,Journal,"Earth and Planetary Sciences (miscellaneous) (Q2); Geography, Planning and Development (Q2)",44,11970,0.405,2.27,Springer India,India,"09743006, 0255660X"
12,144,JOURNAL OF VIBRATION AND CONTROL,JVC/Journal of Vibration and Control ,JVC/J. Vib. Control,Journal,Aerospace Engineering (Q1); Automotive Engineering (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Materials Science (miscellaneous) (Q2),73,5996,0.775,3.54,SAGE Publications Inc.,United States,"10775463, 17412986"
13,145,IEEE LATIN AMERICA TRANSACTIONS,IEEE Latin America Transactions ,IEEE Lat. Am. Trans.,Journal,Computer Science (miscellaneous) (Q3); Electrical and Electronic Engineering (Q3),29,13892,0.33,1.11,IEEE Computer Society,United States,15480992
14,146,SCIENTIFIC REPORTS,Scientific Reports ,Sci. Rep.,Journal,Multidisciplinary (Q1),242,4084,1.005,4.54,Nature Publishing Group,United Kingdom,20452322
15,147,INTERNATIONAL JOURNAL OF SPATIAL DATA INFRASTRUCTURES RESEARCH,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,148,OPTICS EXPRESS,Optics Express ,Opt. Express,Journal,"Atomic and Molecular Physics, and Optics (Q1)",281,2917,1.233,4.12,The Optical Society,United States,10944087
