,id,Publication Title,Title,Abbreviation,Publication Type,"Subject Area, Categories, Scope",h-index,Overall Rank/Ranking,SCImago Journal Rank (SJR),Impact Score,Publisher,Country,ISSN
0,1,Natural Hazards and Earth System Sciences,Natural Hazards and Earth System Sciences ,Nat. Hazards Earth Syst. Sci.,Journal,Earth and Planetary Sciences (miscellaneous) (Q1),107,3301,1.142,4.20,European Geosciences Union,Germany,"16849981, 15618633"
1,2,Frontiers in Sustainable Cities,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,3,Proceedings of the Asia-Pacific Conference on Intelligent Medical 2018 & International Conference on Transportation and Traffic Engineering 2018 on   - APCIM & ICTTE 2018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,4,Transport Policy,Transport Policy ,Transp. Policy,Journal,"Geography, Planning and Development (Q1); Law (Q1); Transportation (Q1)",103,1624,1.732,6.36,Elsevier Ltd.,United Kingdom,"1879310X, 0967070X"
4,5,Communications Earth & Environment,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,6,International Journal of Disaster Risk Reduction,International Journal of Disaster Risk Reduction ,Int. J. Disaster Risk Reduct.,Journal,Geology (Q1); Geotechnical Engineering and Engineering Geology (Q1); Safety Research (Q1),58,3557,1.096,5.05,Elsevier Ltd.,United Kingdom,22124209
6,7,HYDROLOGY RESEARCH,Hydrology Research ,Hydrol. Res.,Journal,Water Science and Technology (Q2),50,7626,0.642,2.71,,Denmark,"22247955, 00291277, 19989563"
7,8,SUSTAINABILITY,Nature Energy ,Nat. Energy,Journal,"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)",160,22,16.736,25.73,Springer Nature,United States,20587546
8,9,EARTH SYSTEM SCIENCE DATA,Earth System Science Data ,Earth Syst. Sci. Data,Journal,Earth and Planetary Sciences (miscellaneous) (Q1),69,433,3.657,10.92,Copernicus Publications,Germany,"18663516, 18663508"
9,10,COMPUTERS & SECURITY,Advances in Computers ,Adv. Comput.,Book series,Computer Science (miscellaneous) (Q1),35,246,5.202,3.78,Academic Press Inc.,United States,652458
10,11,SUSTAINABLE AND RESILIENT INFRASTRUCTURE,Sustainable and Resilient Infrastructure ,Sustain. Resilient Infrastruct.,Journal,"Building and Construction (Q1); Civil and Structural Engineering (Q1); Geography, Planning and Development (Q1); Safety, Risk, Reliability and Quality (Q1)",17,3921,1.031,3.94,Taylor and Francis Ltd.,United States,"23789689, 23789697"
11,12,PROGRESS IN DISASTER SCIENCE,Progress in Disaster Science ,-1,Journal,"Earth and Planetary Sciences (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Safety Research (Q1)",16,2498,1.361,8.60,Elsevier Ltd.,United Kingdom,25900617
12,13,ADVANCES IN SPACE RESEARCH,Advances in Space Research ,Adv. Space Res.,Journal,Aerospace Engineering (Q2); Astronomy and Astrophysics (Q2); Earth and Planetary Sciences (miscellaneous) (Q2); Geophysics (Q2); Atmospheric Science (Q3); Space and Planetary Science (Q3),99,8063,0.613,2.69,Elsevier Ltd.,United Kingdom,"02731177, 18791948"
13,14,TRANSPORTATION RESEARCH RECORD,Transportation Research Record ,Transp. Res. Rec.,Book series,Civil and Structural Engineering (Q2); Mechanical Engineering (Q2),131,8673,0.575,2.06,US National Research Council,United States,3611981
14,15,URBAN WATER JOURNAL,Urban Water Journal ,Urban Water J.,Journal,"Geography, Planning and Development (Q2); Water Science and Technology (Q2)",46,9128,0.549,2.38,Taylor and Francis Ltd.,United Kingdom,"17449006, 1573062X"
15,16,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
