,id,Publication Title,Title,Abbreviation,Publication Type,"Subject Area, Categories, Scope",h-index,Overall Rank/Ranking,SCImago Journal Rank (SJR),Impact Score,Publisher,Country,ISSN
0,248,"Australasian Transport Research Forum, ATRF 2019 - Proceedings",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,249,"20th Congress of IABSE, New York City 2019: The Evolving Metropolis - Report",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,250,Computer-Aided Civil and Infrastructure Engineering,Computer-Aided Civil and Infrastructure Engineering ,Comput.-Aided Civ. Infrastruct. Eng.,Journal,Civil and Structural Engineering (Q1); Computational Theory and Mathematics (Q1); Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1),89,550,3.134,9.47,Wiley-Blackwell Publishing Ltd,United Kingdom,"14678667, 10939687"
3,251,MATEC Web of Conferences,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,252,International Journal of Digital Earth,International Journal of Digital Earth ,Int. J. Digit. Earth,Journal,Earth and Planetary Sciences (miscellaneous) (Q1); Computer Science Applications (Q2); Software (Q2),50,4781,0.903,4.88,Taylor and Francis Ltd.,United Kingdom,"17538955, 17538947"
5,253,Land Degradation and Development,Land Degradation and Development ,Land Degrad. Dev.,Journal,Development (Q1); Environmental Chemistry (Q1); Environmental Science (miscellaneous) (Q1); Soil Science (Q1),89,2862,1.246,4.77,John Wiley and Sons Ltd,United Kingdom,"1099145X, 10853278"
6,254,Annals of the American Association of Geographers,Annals of the American Association of Geographers ,Ann. Am. Assoc. Geogr.,Journal,"Earth-Surface Processes (Q1); Geography, Planning and Development (Q1)",121,1808,1.635,4.30,Taylor and Francis Ltd.,United Kingdom,"24694460, 24694452"
7,255,"9th European Workshop on Structural Health Monitoring, EWSHM 2018",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,256,"26th International Congress on Large Dams, 2018",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,257,"2018 Hydrology and Water Resources Symposium, HWRS 2018: Water and Communities",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,258,International Journal of Safety and Security Engineering,International Journal of Safety and Security Engineering ,Int. J. Saf. Secur. Eng.,Journal,"Environmental Science (miscellaneous) (Q3); Safety, Risk, Reliability and Quality (Q4)",12,17640,0.22,1.09,International Information and Engineering Technology Association,United Kingdom,"2041904X, 20419031"
11,259,"Computers, Environment and Urban Systems","Computers, Environment and Urban Systems ",Comput. Environ. Urban Syst.,Journal,"Ecological Modeling (Q1); Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1)",97,1673,1.703,6.81,Elsevier Ltd.,United Kingdom,1989715
12,260,Open Construction and Building Technology Journal,Open Construction and Building Technology Journal ,Open Constr. Build. Technol. J.,Journal,Building and Construction (Q2),23,12611,0.378,1.51,Bentham Science Publishers B.V.,United Arab Emirates,18748368
13,261,Journal of the American Water Resources Association,Journal of the American Water Resources Association ,J. Am. Water Resour. Assoc.,Journal,Earth-Surface Processes (Q1); Ecology (Q1); Water Science and Technology (Q1),110,5856,0.788,2.45,Wiley-Blackwell Publishing Ltd,United States,"1093474X, 17521688"
14,262,"Proceedings - 22nd International Congress on Modelling and Simulation, MODSIM 2017",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,263,"23rd Canadian Hydrotechnical Conference, Held as part of the Canadian Society for Civil Engineering Annual Conference and General Meeting 2017",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
