,id,Publication Title,Title,Abbreviation,Publication Type,"Subject Area, Categories, Scope",h-index,Overall Rank/Ranking,SCImago Journal Rank (SJR),Impact Score,Publisher,Country,ISSN
0,66,REMOTE SENSING,Remote Sensing of Environment ,Remote Sens. Environ.,Journal,Computers in Earth Sciences (Q1); Geology (Q1); Soil Science (Q1),303,405,3.862,13.63,Elsevier Inc.,United States,344257
1,67,JOURNAL OF INFRASTRUCTURE SYSTEMS,Journal of Infrastructure Systems ,J. Infrastruct. Syst.,Journal,Civil and Structural Engineering (Q2),72,7496,0.65,3.71,American Society of Civil Engineers (ASCE),United States,"10760342, 1943555X"
2,68,LANDSLIDES,Landslides ,Landslides,Journal,Geotechnical Engineering and Engineering Geology (Q1),89,1345,1.918,6.77,Springer Verlag,Germany,"16125118, 1612510X"
3,69,GEORISK-ASSESSMENT AND MANAGEMENT OF RISK FOR ENGINEERED SYSTEMS AND GEOHAZARDS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,70,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-BRIDGE ENGINEERING,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,71,TRANSACTIONS IN GIS,Transactions in GIS ,Trans. GIS,Journal,Earth and Planetary Sciences (miscellaneous) (Q2),68,7749,0.634,2.61,Wiley-Blackwell Publishing Ltd,United Kingdom,"13611682, 14679671"
6,72,OCEAN & COASTAL MANAGEMENT,Annual Review of Marine Science ,Annu. Rev. Mar. Sci.,Journal,Oceanography (Q1),104,286,4.801,13.80,Annual Reviews Inc.,United States,"19410611, 19411405"
7,73,CENTRAL EUROPEAN JOURNAL OF GEOSCIENCES,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,74,EUROPEAN JOURNAL OF TRANSPORT AND INFRASTRUCTURE RESEARCH,European Journal of Transport and Infrastructure Research ,Eur. J. Transp. Infrastruct. Res.,Journal,"Geography, Planning and Development (Q2); Urban Studies (Q2); Transportation (Q3)",29,11099,0.444,1.19,Technische Universiteit Delft/Delft University of Technology,Netherlands,15677141
9,75,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,IEEE Transactions on Intelligent Transportation Systems ,IEEE Trans. Intell. Transp. Syst.,Journal,Automotive Engineering (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1),166,1136,2.111,7.80,Institute of Electrical and Electronics Engineers Inc.,United States,"15580016, 15249050"
10,76,ARCTIC SCIENCE,Arctic Science ,Arct. Sci.,Journal,Agricultural and Biological Sciences (miscellaneous) (Q1); Earth and Planetary Sciences (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q2),7,8150,0.607,2.51,Canadian Science Publishing,Canada,23687460
11,77,GEOMATICS NATURAL HAZARDS & RISK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,78,POLISH JOURNAL OF ENVIRONMENTAL STUDIES,Polish Journal of Environmental Studies ,Pol. J. Environ. Stud.,Journal,Environmental Chemistry (Q3); Environmental Science (miscellaneous) (Q3),59,12964,0.364,1.87,HARD,Poland,12301485
13,79,ENGINEERING JOURNAL-THAILAND,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,80,JOURNAL OF CULTURAL HERITAGE,Journal of Cultural Heritage ,J. Cult. Herit.,Journal,"Anthropology (Q1); Archeology (arts and humanities) (Q1); Chemistry (miscellaneous) (Q1); Conservation (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); History (Q1); Computer Science Applications (Q2); Materials Science (miscellaneous) (Q2); Spectroscopy (Q2)",70,6589,0.722,3.47,Elsevier Masson s.r.l.,France,12962074
15,81,EARTH SYSTEMS AND ENVIRONMENT,Earth Systems and Environment ,Earth Syst. Environ.,Journal,Computers in Earth Sciences (Q1); Economic Geology (Q1); Environmental Science (miscellaneous) (Q1); Geology (Q1); Global and Planetary Change (Q2),21,2854,1.248,8.20,Springer International Publishing AG,Switzerland,"25099426, 25099434"
16,82,WATER POLICY,Water Policy ,Water Policy,Journal,"Geography, Planning and Development (Q2); Water Science and Technology (Q2); Management, Monitoring, Policy and Law (Q3)",61,11424,0.43,1.70,IWA Publishing,United Kingdom,13667017
