,id,Publication Title,Title,Abbreviation,Publication Type,"Subject Area, Categories, Scope",h-index,Overall Rank/Ranking,SCImago Journal Rank (SJR),Impact Score,Publisher,Country,ISSN
0,33,JOURNAL OF TRANSPORTATION ENGINEERING PART A-SYSTEMS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,34,JOURNAL OF HYDRO-ENVIRONMENT RESEARCH,Journal of Hydro-Environment Research ,J. Hydro-Environ. Res.,Journal,"Civil and Structural Engineering (Q2); Environmental Chemistry (Q2); Environmental Engineering (Q2); Management, Monitoring, Policy and Law (Q2); Water Science and Technology (Q2)",43,8006,0.617,2.57,Elsevier,Netherlands,15706443
2,35,PLOS ONE,PLoS ONE ,PLoS ONE,Journal,Multidisciplinary (Q1),367,5222,0.852,3.58,Public Library of Science,United States,19326203
3,36,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,IEEE Geoscience and Remote Sensing Letters ,IEEE Geosci. Remote Sens. Lett.,Journal,Electrical and Electronic Engineering (Q1); Geotechnical Engineering and Engineering Geology (Q1),125,2348,1.403,4.64,Institute of Electrical and Electronics Engineers Inc.,United States,1545598X
4,37,INTERNATIONAL JOURNAL OF CRITICAL INFRASTRUCTURE PROTECTION,International Journal of Critical Infrastructure Protection ,Int. J. Crit. Infrastruct. Prot.,Journal,"Computer Science Applications (Q2); Information Systems and Management (Q2); Modeling and Simulation (Q2); Safety, Risk, Reliability and Quality (Q2)",40,5973,0.777,4.32,Elsevier,Netherlands,18745482
5,38,SCIENCE OF THE TOTAL ENVIRONMENT,Science of the Total Environment ,Sci. Total Environ.,Journal,Environmental Chemistry (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1),275,1488,1.806,10.15,Elsevier,Netherlands,"00489697, 18791026"
6,39,JOURNAL OF COMPUTING IN CIVIL ENGINEERING,Journal of Computing in Civil Engineering ,J. Comput. Civ. Eng.,Journal,Civil and Structural Engineering (Q1); Computer Science Applications (Q1),83,2550,1.343,6.32,American Society of Civil Engineers (ASCE),United States,8873801
7,40,SIGNAL PROCESSING-IMAGE COMMUNICATION,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,41,INTERNATIONAL JOURNAL OF DISASTER RISK SCIENCE,International Journal of Disaster Risk Science ,Int. J. Disaster Risk Sci.,Journal,"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Safety Research (Q1); Global and Planetary Change (Q2)",36,3539,1.101,5.03,Springer Science + Business Media,United States,"21926395, 20950055"
9,42,ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,Environmental Impact Assessment Review ,Environ. Impact Assess. Rev.,Journal,"Ecology (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1)",99,3775,1.053,5.84,Elsevier Inc.,United States,1959255
10,43,STRUCTURAL HEALTH MONITORING-AN INTERNATIONAL JOURNAL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,44,APPLIED GEOMATICS,Applied Geomatics ,Appl. Geomat.,Journal,"Earth and Planetary Sciences (miscellaneous) (Q2); Engineering (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q2); Geography, Planning and Development (Q2)",23,9291,0.538,2.57,Springer Verlag,Germany,"1866928X, 18669298"
12,45,WATER,Advances in Optics and Photonics ,Adv. Opt. Photonics,Journal,"Atomic and Molecular Physics, and Optics (Q1); Water Science and Technology (Q1)",73,127,7.473,20.41,The Optical Society,United States,19438206
13,46,IEEE ACCESS,IEEE Access ,IEEE Access,Journal,Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1),158,4581,0.927,4.34,Institute of Electrical and Electronics Engineers Inc.,United States,21693536
14,47,STRUCTURE AND INFRASTRUCTURE ENGINEERING,Structure and Infrastructure Engineering ,Struct. Infrastruct. Eng.,Journal,"Building and Construction (Q1); Civil and Structural Engineering (Q1); Geotechnical Engineering and Engineering Geology (Q1); Mechanical Engineering (Q1); Ocean Engineering (Q1); Safety, Risk, Reliability and Quality (Q1)",54,4418,0.949,4.13,Taylor and Francis Ltd.,United Kingdom,"17448980, 15732479"
15,48,ENGINEERING TECHNOLOGY & APPLIED SCIENCE RESEARCH,Mathematical Modelling of Engineering Problems ,Math. Model. Eng. Probl.,Journal,Engineering (miscellaneous) (Q2); Applied Mathematics (Q3); Modeling and Simulation (Q3),15,14376,0.314,1.72,International Information and Engineering Technology Association,Canada,"23690739, 23690747"
16,49,KSCE JOURNAL OF CIVIL ENGINEERING,KSCE Journal of Civil Engineering ,KSCE J. Civ. Eng.,Journal,Civil and Structural Engineering (Q2),46,9814,0.51,2.30,Korean Society of Civil Engineers,Germany,"12267988, 19763808"
