,id,Publication Title,Title,Abbreviation,Publication Type,"Subject Area, Categories, Scope",h-index,Overall Rank/Ranking,SCImago Journal Rank (SJR),Impact Score,Publisher,Country,ISSN
0,297,"34th IAHR Congress 2011 - Balance and Uncertainty: Water in a Changing World, Incorporating the 33rd Hydrology and Water Resources Symposium and the 10th Conference on Hydraulics in Water Engineering",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,298,"Proceedings of the International Conference on Risk Management, Assessment and Mitigation, RIMA '10",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,299,WSEAS Transactions on Environment and Development,WSEAS Transactions on Environment and Development ,WSEAS Trans. Environ. Dev.,Journal,"Geography, Planning and Development (Q3); Development (Q4); Ecological Modeling (Q4); Energy (miscellaneous) (Q4); Environmental Chemistry (Q4); Environmental Engineering (Q4); Environmental Science (miscellaneous) (Q4); Management, Monitoring, Policy and Law (Q4); Waste Management and Disposal (Q4)",21,19277,0.186,1.01,World Scientific and Engineering Academy and Society,Greece,"17905079, 22243496"
3,300,Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis,Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis ,Acta Univ. Agric. Silvic. Mendel. Brun.,Journal,Agricultural and Biological Sciences (miscellaneous) (Q4),20,19711,0.176,0.70,Mendel University of Agriculture and Forestry Brno,Czech Republic,12118516
4,301,Yingyong Jichu yu Gongcheng Kexue Xuebao/Journal of Basic Science and Engineering,Yingyong Jichu yu Gongcheng Kexue Xuebao/Journal of Basic Science and Engineering ,Yingyong Jichu yu Gongcheng Kexue Xuebao/J. Basic Sci. Eng.,Journal,Engineering (miscellaneous) (Q3),19,16838,0.24,0.53,,China,10050930
5,302,AEJ - Alexandria Engineering Journal,AEJ - Alexandria Engineering Journal ,AEJ - Alex. Eng. J.,Journal,Engineering (miscellaneous) (Q1),68,5324,0.84,6.77,Alexandria University,Egypt,11100168
6,303,Planet Earth,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,304,International Journal of River Basin Management,International Journal of River Basin Management ,Int. J. River Basin Manag.,Journal,Water Science and Technology (Q2),38,9074,0.552,2.25,Taylor and Francis Ltd.,United Kingdom,"15715124, 18142060"
8,305,Proceedings of ISCRAM 2005 - 2nd International Conference on Information Systems for Crisis Response and Management,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,306,Journal of Environmental Systems,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,307,IAHS-AISH Publication,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,308,World Health Statistics Quarterly,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,309,Public Works,Public Works Management and Policy ,Public Works Manag. Policy,Journal,"Sociology and Political Science (Q2); Business, Management and Accounting (miscellaneous) (Q3); Public Administration (Q3)",26,14548,0.308,0.74,SAGE Publications Inc.,United States,1087724X
13,310,"Engineering Geology for Society and Territory - Volume 3: River Basins, Reservoir Sedimentation and Water Resources",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,311,"Engineering Geology for Society and Territory - Volume 5: Urban Geology, Sustainable Planning and Landscape Exploitation",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,312,Engineering Geology for Society and Territory - Volume 6: Applied Geology for Major Engineering Projects,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,313,Environmental Modeling with GIS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
